"","HDA","HDB","HDC","MDA","MDB","MDC","NCA","NCB","NCC"
"num.edges(L)","455","265","342","285","1148","1228","121","171","222"
"num.pos.edges","423","208","252","243","926","1146","97","146","209"
"num.neg.edges","32","57","90","42","222","82","24","25","13"
"num.vertices(n)","268","251","285","236","360","603","157","174","169"
"Connectance(edge_density)","0.0127173123148303","0.00844621513944223","0.00845070422535211","0.0102776776054814","0.0177653977096874","0.00676572839016435","0.00988077739670096","0.0113613713374527","0.0156382079459003"
"average.degree(Average K)","3.3955223880597","2.11155378486056","2.4","2.41525423728814","6.37777777777778","4.07296849087894","1.54140127388535","1.96551724137931","2.62721893491124"
"average.path.length","1.60437128865609","1.25518648727902","1.25744127651074","1.65056700574057","1.4825253979978","4.25528725791532","1.2648753786673","1.25818096758694","1.78242898712902"
"diameter","6.99190256679424","3.99571653113006","3.99617232440937","4.99522957799287","5.988823466954","14.9697341429606","2.9973660695934","3.99592626548441","4.99420273540965"
"edge.connectivity","0","0","0","0","0","0","0","0","0"
"mean.clustering.coefficient(Average.CC)","0.791606541606541","0.894487344487344","0.889904035358581","0.826669325506535","0.849891129594545","0.635081136466818","0.684090909090909","0.763852813852814","0.692964235962957"
"no.clusters","92","92","98","88","107","103","63","69","65"
"centralization.degree","0.069679691430488","0.0235537848605578","0.0302816901408451","0.049296790479625","0.0852986691426803","0.016490085563324","0.0221705046545811","0.0464420968706398","0.0915046491969569"
"centralization.betweenness","0.00173549642316877","0.00057615421686747","0.000290112245663299","0.00307375738792669","0.00116694197007078","0.00354178216900802","0.000837910825503878","0.000991882338588924","0.00408495379813555"
"centralization.closeness","0.255690377818034","0.122340510401284","0.147138047852514","0.211665597780286","0.271006392973263","0.936860650334873","0.169781243478513","0.15181933965408","0.227709567019455"
"RM(relative.modularity)","0.482477636323781","0.381588525380117","0.47635552368431","0.440641534391532","1.09000183798875","1.1224622585284","0.23269442608504","0.325887555274794","0.146891264594177"
"the.number.of.keystone.nodes","Not.calculated","Not.calculated","Not.calculated","Not.calculated","Not.calculated","Not.calculated","Not.calculated","Not.calculated","Not.calculated"
